source_record_id,po_so_number,asn_dn_number,project_code,destination_country,managed_by,fulfill_via,incoterm,shipment_mode_raw,shipment_mode,missing_mode_flag,pq_first_sent_date,po_sent_date,scheduled_delivery_date,actual_delivery_date,delivery_recorded_date,product_group_raw,sub_classification_raw,product_category,vendor_name,item_description_raw,manufacturing_site,first_line_designation,unit_of_measure_per_pack,line_item_quantity,line_item_value_usd,pack_price_usd,unit_price_usd,weight_kg,weight_source,freight_cost_usd,freight_cost_source,line_item_insurance_usd,reporting_scheduled_delivery_date,reporting_actual_delivery_date
1,SCMS-4,ASN-8,100-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-06-02,2006-06-02,2006-06-02,HRDT,HIV test,BATTERY_ESS,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",Ranbaxy Fine Chemicals LTD,1,30,19,551.0,29.0,0.97,13.0,direct,780.34,direct,,2016-06-02,2016-06-02
3,SCMS-13,ASN-85,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,INVERTER,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml","Aurobindo Unit III, India",1,240,1000,6200.0,6.2,0.03,358.0,direct,4521.5,direct,,2016-11-14,2016-11-14
4,SCMS-20,ASN-14,100-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,AIR,0,,,2006-08-27,2006-08-27,2006-08-27,HRDT,HIV test,BATTERY_ESS,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",ABBVIE GmbH & Co.KG Wiesbaden,1,100,500,40000.0,80.0,0.8,171.0,direct,1653.78,direct,,2016-08-27,2016-08-27
15,SCMS-78,ASN-50,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,SOLAR_MODULE,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs","Ranbaxy, Paonta Shahib, India",1,60,31920,127360.8,3.99,0.07,1855.0,direct,16007.06,direct,,2016-09-01,2016-09-01
16,SCMS-81,ASN-55,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps","Aurobindo Unit III, India",1,60,38000,121600.0,3.2,0.05,7590.0,direct,45450.08,direct,,2016-08-11,2016-08-11
23,SCMS-87,ASN-57,112-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,INVERTER,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml","Aurobindo Unit III, India",1,240,416,2225.6,5.35,0.02,504.0,direct,5920.42,direct,,2016-09-28,2016-09-28
44,SCMS-139,ASN-130,110-ZM-T01,Zambia,PMO - US,Direct Drop,DDU,Air,AIR,0,,,2007-01-08,2007-01-08,2007-01-08,ARV,Pediatric,INVERTER,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",MSD South Granville Australia,1,90,135,4374.0,32.4,0.36,328.0,direct,,missing_included_in_commodity,,2017-01-08,2017-01-08
45,SCMS-140,ASN-94,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs","Aurobindo Unit III, India",1,60,16667,60834.55,3.65,0.06,1478.0,direct,6212.41,direct,,2016-11-24,2016-11-24
46,SCMS-156,ASN-93,112-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps","Aurobindo Unit III, India",0,60,273,532.35,1.95,0.03,479.0,resolved_reference,4861.14,resolved_reference,,2016-12-07,2016-12-07
47,SCMS-165,ASN-199,110-ZM-T01,Zambia,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2007-01-30,2007-01-30,2007-01-30,ARV,Adult,SOLAR_MODULE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE (Abbott) St. P'burg USA,1,120,2800,115080.0,41.1,0.34,643.0,direct,,missing_included_in_commodity,,2017-01-30,2017-01-30
60,SCMS-221,ASN-223,110-ZM-T01,Zambia,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2007-02-16,2007-02-16,2007-02-16,ARV,Adult,SOLAR_MODULE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE Ludwigshafen Germany,1,120,2800,115080.0,41.1,0.34,643.0,direct,,missing_included_in_commodity,,2017-02-16,2017-02-16
61,SCMS-226,ASN-137,110-ZM-T01,Zambia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV test,BATTERY_ESS,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","Trinity Biotech, Plc",1,20,2500,100000.0,40.0,2.0,853.0,direct,13569.49,direct,,2017-01-08,2017-01-08
62,SCMS-230,ASN-144,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-01-10,2007-01-10,2007-01-10,HRDT,HIV test,BATTERY_ESS,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","EY Laboratories, USA",1,100,10,850.0,85.0,0.85,,missing_captured_separately,,missing_invoiced_separately,,2017-01-10,2017-01-10
